BUZ,hebraico,desprezo - Gn 22:21
BUZI,hebraico,descendente de Buz - Ez 1:3
CABOM,hebraico,bolo; atadura - Js 15:40
CABUL,hebraico,sujo; terra árida - Js 19:27
CABULI,hebraico,sujo; terra árida - 1 Rs 9:13
CABZEEL,hebraico,Deus traz junto - Jz 15:21
CADES,hebraico,consagrado - Nm 20:16
CADES-BARNÉIA,hebraico,consagrado - Js 15:3
CADMIEL,hebraico,Deus é desde todo o princípio - Ed 2:40
CADMOMEU,hebraico,orientais - Gn 15:19
CAF,10ª letra do alfabeto hebraico,macaco - Sl 119:81
CAFAR-EMONA,hebraico,aldeia dos amonitais - Js 18:24
CAFARNAUM,hebraico,aldeia de Naum; consolação - Mt 4:13
CAFARSALAMA,hebraico,aldeia de Salém - 1 Mac 7:31
CÁFE,10ª letra do alfabeto hebraico,macaco - Sl 119:81
CAFENATA,hebraico,a torre que de levanta acima da casa do rei - 1 Mac 12:37
CAFIRA,hebraico,aldeia; coberta; expedição - Js 18:26
CAFTOR,hebraico,coroa; copo - Jr 47:4
CAFTORIM,hebraico,capadócios - Gn 10:14
CAFTÓS,hebraico,coroa; copo - Am 9:7
CAIFÁS,hebraico,depressão - Jo 18:13
CAIM,hebraico,adquirido; forjado - Gn 4:1
CAINA,hebraico,possuidor - Gn 5:9
CAIO,latim,alegre; bordão - At 19:30
CALA,hebraico,firmeza - Gn 10:11
CALAI,hebraico,acabado,perfeição - Ed 10:30
CALAL,hebraico,acabado,perfeição - Ed 10:30
CALANO,grego,cana Ct 4:14
CALCOL,hebraico,sustentáculo - 1 Rs 4:31
CALDÉIA,hebraico,terra dos conquistadores - 2 Rs 24:2
CASAÍAS,hebraico,canela - Jo 42:14
CASEDE,hebraico,aumento de prosperidade - Gn 22:22
CASERIM,hebraico,região montanhosa - Tb 1:1
CASFEU,hebraico,confiança; ousadia - 1 Mac 1:54
CASFIA,hebraico,prata do Senhor - Ed 8:17
CASIA,hebraico,canela - Jo 42:14
CASÍLIA,hebraico,prata do Senhor - Ed 8:7
CASLEIUM,hebraico,fortificador - Gn 10:14
CASLUIM,hebraico,fortificado - Gn 10:14
CÁSSIA,hebraico,canela | latim: irmã dos fortes e valentes - Jo 42:14
CASTOR,grego,astro; constelação boreal; deus estrela - At 28:11
CATA,hebraico,cidade dupla - Ed 8:12
CATATE,hebraico,pequeno - Js 19:15
CEDAR,hebraico,homem moreno; poderoso - Gn 25:13
CEDEMOT,hebraico,princípios antigos; lugares orientais - Js 15:23
CEDES,hebraico,santuário - Js 15:23
CEDMA,hebraico,para o oriente - Gn 25:15
CEDMIEL,hebraico,eternidade de Deus - Ne 7:43
CEDROM,hebraico,escuro; turvado - 2 Sm 15:23
CEFAS,aramaico,rocha; pedra - Jo 1:42
CEFIRA,hebraico,aldeia; vila - Js 9:17
CEILA,hebraico,fortaleza - Js 15:44
CELAL,hebraico,pouco estimado - Ne 12:20
CELITA,hebraico,congregação do Senhor - Ed 10:23
CELON,hebraico,em paz - Jt 2:13
CENCRÉIA,grego,milhate - At 18:18
CENIDO,hebraico,urtiga - At 27:7
CENOPÉGICA,hebraico,festas das luzes; purificação - 1 Mac
CÉSAR,latim,cabeludo; talhado - Mc 12:14
CÉSAR AUGUSTO,latim,são títulos dos reis de Roma - Lc 2:1
CESARÉIA,latim,cabeluda; porção construída por César - At 10:1
CESARÉIA DE FELIPO e da PALESTINA,latim,cidade dos Césares - Mt 16:13
CETIM,hebraico,vencedores - 1 Cr 1:7
CHAAGAZ,persa,servo de belo - Et 2:13
CHAFENATA,hebraico,a torre que se levanta acima da casa do rei - 1 Mac 12:32
CETEUES,hebraico,adoração - 1 Mac 8:5
CESIL,hebraico,gordo; tolo - Js 19:12
CHEOL,hebraico,mundos dos mortos - Gn 37:25
CHIBOLETE,hebraico,rio corrente - Jz 12:6
CHIPRE,grego,lindo - Is 23:1
